Orthogroup,GeneID,SRR3051863,SRR3051864,SRR3051865,SRR3051866,SRR3051867,SRR3051868,SRR3051869,SRR3051870,SRR3051871
OG0005442,Pocillopora_acuta_HIv2___TS.g24597.t1,5.271329742272136,5.4403267516528615,5.859093230251093,5.025721869450226,4.672543804794641,5.479745400755572,5.897519245985154,6.061952950521014,6.1388602376208645
OG0005443,Pocillopora_acuta_HIv2___RNAseq.g21810.t1,5.295776531523209,5.607781672364112,5.742018991683321,5.527651520237292,6.0876537802642,6.366065895634799,6.503489609398747,6.383849256967908,6.470126358175158
OG0005444,Pocillopora_acuta_HIv2___RNAseq.g15926.t1,4.915021662293593,5.736857023062779,5.075008370532503,3.785256855988091,3.4748828543792554,4.723096455414057,3.5517598596217472,3.7177840544636966,4.5229110408213735
OG0005445,Pocillopora_acuta_HIv2___TS.g18291.t1,5.26278728770757,5.425448702927544,5.6241238575149834,6.972433389692168,6.771936234035603,6.584969740835462,5.721122831653953,5.719132846074645,5.879184609251053
OG0005446,Pocillopora_acuta_HIv2___RNAseq.g12350.t1,4.714800733772611,4.951497584131002,5.202821020630323,6.19562476525512,5.929722381915592,6.315873276394304,5.580968700888445,5.5424264231473055,5.717824977732881
OG0005447,Pocillopora_acuta_HIv2___RNAseq.g623.t1,4.071703799471786,4.324690986828452,4.6618398453652095,6.481692533563143,6.501356285108206,6.572760700983511,5.5916008551001575,5.893093143477146,5.723539678585323
OG0005448,Pocillopora_acuta_HIv2___RNAseq.g3846.t1,1.623914672192897,1.6034515018768776,2.328403448187061,2.234221905041286,2.447441323488319,2.2162520801525862,2.1227389907034233,2.55213952943119,2.2216493231789096
OG0005449,Pocillopora_acuta_HIv2___TS.g17246.t2,3.4552379964838207,3.7230982844865306,3.806248457991104,3.513861715731397,3.370194228747129,4.171000484983466,3.26011476796059,3.453541553559237,3.3345326492461576
OG0005450,Pocillopora_acuta_HIv2___RNAseq.g25332.t1,4.128532264047821,4.395616094374468,4.273885322199635,4.9171015660749,4.708454497557962,5.253349654873909,4.753693035410354,5.153199551744184,4.997349406943183
OG0005451,Pocillopora_acuta_HIv2___RNAseq.g2357.t1,3.182952990404306,3.236652328715495,3.0026375912057848,5.317928123370696,4.75140828203496,5.314538706599189,4.965292642582383,5.161186838059233,4.96249273572376
OG0005452,Pocillopora_acuta_HIv2___RNAseq.g7576.t1,5.869649451492331,5.998831896865573,6.303705018465772,6.150330850172919,5.9595631716938655,6.129200072949471,5.743278179836159,5.939726957668614,5.785550787578139
OG0005453,Pocillopora_acuta_HIv2___RNAseq.g23783.t1,4.9858012157947265,4.863032730920574,4.9826746155010095,4.8503529191133,5.170218054206953,5.395599249778669,5.5528007389374565,5.420425356234416,5.2804657106159745
OG0005454,Pocillopora_acuta_HIv2___TS.g7543.t1,0.7036639751294841,0.25182092321122035,0.8982582984762005,0.8062312016086514,1.1728871037688131,1.789199645526507,3.290189444225265,2.938549954392583,3.180675458565446
OG0005455,Pocillopora_acuta_HIv2___RNAseq.g17057.t2,3.258221601078493,3.2186922011240204,3.4790905935803607,3.769413690063186,3.319653588886229,4.029550267423477,3.5976702374645813,3.5697969034558565,3.1654280315785024
OG0005456,Pocillopora_acuta_HIv2___RNAseq.g22819.t1,3.234713844749164,3.5547297650720497,3.2572652140191005,5.146155603853133,4.720494833313256,5.275673836318729,5.635117628578493,5.5162863631219645,5.272872138780394
OG0005457,Pocillopora_acuta_HIv2___RNAseq.g18949.t2,7.74167836749193,7.895603548858186,8.155840237338785,8.055055530083793,7.875714882141484,8.347609700843774,8.124803318523155,8.147886287114275,8.17498118589223
OG0005458,Pocillopora_acuta_HIv2___RNAseq.g11474.t1,1.6097918773821884,1.886614946700436,1.7032595360660798,1.7054768729718428,1.5504313327037904,2.838482403095634,4.034979257795733,4.580478414877171,4.365528804715579
OG0005459,Pocillopora_acuta_HIv2___RNAseq.g25965.t1,2.467475931633971,2.0450836776417955,2.153456824719107,2.960640440423486,3.02126750504879,3.093256340001899,2.405037344590869,2.9557545023721454,2.4317810263504844
OG0005460,Pocillopora_acuta_HIv2___RNAseq.g7294.t2,3.532480471670511,3.6433639888430616,3.6350347277506865,3.3576994377383595,2.514251687800009,3.590911648841212,4.621241958387713,4.59978812191829,4.472520168537109
OG0005461,Pocillopora_acuta_HIv2___RNAseq.g30733.t1,4.231769874858855,4.397703905938024,4.459529365388425,4.932819686520435,5.248642263184393,5.148705315738812,4.586099789929115,4.843458451448843,4.732433939312492
OG0005462,Pocillopora_acuta_HIv2___RNAseq.g20399.t1,2.264558106693529,2.2727461014092425,2.2301105259303218,1.4918902409931185,1.7464324399353688,1.9702654806912496,2.517338849531892,2.2445054678214977,2.067338725309688
OG0005463,Pocillopora_acuta_HIv2___RNAseq.g7095.t1,3.1393433388711376,3.287327235068679,3.581646647899057,3.5900708122635914,3.348371224963506,3.8332107621762894,4.639518045838794,4.769476715707064,4.652987318497383
OG0005464,Pocillopora_acuta_HIv2___RNAseq.g6185.t1,3.451776233164648,3.4123719565601314,3.814237536796331,2.558408746313274,2.2847402077554673,2.332463034614514,2.710484931298711,1.9725580439370904,2.523400222652418
