"Orthogroup","Acropora_tenuis_0.11.maker_post_001.proteins","Montipora_capitata_HIv3.genes.pep","Pocillopora_acuta_HIv2.genes.pep","Spis.genome.annotation.pep.longest","Spis.genome.annotation.pep.longest_no_suffixes"
"OG0005442","aten_0.1.m1.25222.m1","Montipora_capitata_HIv3___RNAseq.g35495.t1","Pocillopora_acuta_HIv2___TS.g24597.t1","Spis10345","Spis10345"
"OG0005443","aten_0.1.m1.1627.m1","Montipora_capitata_HIv3___RNAseq.g23448.t1","Pocillopora_acuta_HIv2___RNAseq.g21810.t1","Spis10557","Spis10557"
"OG0005444","aten_0.1.m1.36833.m1","Montipora_capitata_HIv3___RNAseq.g8997.t1","Pocillopora_acuta_HIv2___RNAseq.g15926.t1","Spis19758","Spis19758"
"OG0005445","aten_0.1.m1.8238.m1","Montipora_capitata_HIv3___RNAseq.g32214.t1","Pocillopora_acuta_HIv2___TS.g18291.t1","Spis11961","Spis11961"
"OG0005446","aten_0.1.m1.28051.m1","Montipora_capitata_HIv3___RNAseq.g27579.t1","Pocillopora_acuta_HIv2___RNAseq.g12350.t1","Spis13263","Spis13263"
"OG0005447","aten_0.1.m1.32970.m1","Montipora_capitata_HIv3___RNAseq.g45250.t1","Pocillopora_acuta_HIv2___RNAseq.g623.t1","Spis10155","Spis10155"
"OG0005448","aten_0.1.m1.6803.m1","Montipora_capitata_HIv3___RNAseq.g24634.t1","Pocillopora_acuta_HIv2___RNAseq.g3846.t1","Spis14007","Spis14007"
"OG0005449","aten_0.1.m1.14389.m1","Montipora_capitata_HIv3___RNAseq.g11779.t1","Pocillopora_acuta_HIv2___TS.g17246.t2","Spis11272","Spis11272"
"OG0005450","aten_0.1.m1.10847.m1","Montipora_capitata_HIv3___RNAseq.g13077.t1","Pocillopora_acuta_HIv2___RNAseq.g25332.t1","Spis13602","Spis13602"
"OG0005451","aten_0.1.m1.5741.m1","Montipora_capitata_HIv3___RNAseq.g27839.t1","Pocillopora_acuta_HIv2___RNAseq.g2357.t1","Spis22229.t2","Spis22229"
"OG0005452","aten_0.1.m1.13312.m1","Montipora_capitata_HIv3___TS.g26523.t2","Pocillopora_acuta_HIv2___RNAseq.g7576.t1","Spis2466","Spis2466"
"OG0005453","aten_0.1.m1.21696.m1","Montipora_capitata_HIv3___RNAseq.g35108.t1","Pocillopora_acuta_HIv2___RNAseq.g23783.t1","Spis1089","Spis1089"
"OG0005454","aten_0.1.m1.14049.m1","Montipora_capitata_HIv3___RNAseq.g9606.t1","Pocillopora_acuta_HIv2___TS.g7543.t1","Spis3472.t2","Spis3472"
"OG0005455","aten_0.1.m1.14968.m1","Montipora_capitata_HIv3___RNAseq.g9460.t1","Pocillopora_acuta_HIv2___RNAseq.g17057.t2","Spis4069","Spis4069"
"OG0005456","aten_0.1.m1.9047.m1","Montipora_capitata_HIv3___RNAseq.g41936.t1","Pocillopora_acuta_HIv2___RNAseq.g22819.t1","Spis1503","Spis1503"
"OG0005457","aten_0.1.m1.8266.m1","Montipora_capitata_HIv3___TS.g16688.t2","Pocillopora_acuta_HIv2___RNAseq.g18949.t2","Spis3216","Spis3216"
"OG0005458","aten_0.1.m1.3109.m1","Montipora_capitata_HIv3___TS.g18491.t1","Pocillopora_acuta_HIv2___RNAseq.g11474.t1","Spis474","Spis474"
