JT001945.1	Spis4534	58.4	361	128	6	15	374	16	355	6.69e-82	254
JT001945.1	Spis3547	49.8	285	125	6	102	382	134	404	3.14e-60	200
JT001945.1	Spis4292	36.2	268	136	7	109	363	319	564	3.92e-40	150
JT001945.1	Spis4291	30.2	265	170	4	102	352	64	327	1.23e-28	114
JR972076.1	Spis4292	43.3	344	177	10	19	358	258	587	1.42e-64	215
JR972076.1	Spis4534	37.1	251	138	5	83	324	94	333	9.13e-40	144
JR972076.1	Spis3547	38.9	211	108	6	125	324	173	373	5.70e-35	132
JR972076.1	Spis4291	30.3	277	150	12	86	331	70	334	6.53e-18	84.0
JR991407.1	Spis4534	59.4	355	101	7	8	357	17	333	6.64e-77	242
JR991407.1	Spis3547	56.3	394	159	7	5	387	13	404	1.84e-75	239
JR991407.1	Spis4292	35.2	366	154	8	8	357	255	553	7.81e-45	163
JR991407.1	Spis4291	27.6	250	159	4	147	375	97	345	1.32e-24	103
JR987773	Spis16818	39.3	1551	555	13	23	1426	1702	3013	0.0	1059
JR987773	Spis16996	40.8	903	504	17	394	1278	1	890	2.77e-210	652
JR987773	Spis2764	36.0	1010	534	16	313	1276	978	1921	1.19e-195	637
JR987773	Spis16998	34.2	1046	515	18	313	1246	574	1558	4.66e-183	596
JR987773	Spis16440	39.8	961	517	24	312	1234	2923	3859	7.15e-183	609
JT014391.1	Spis13931	28.8	226	96	9	30	211	109	313	7.94e-11	60.5
JT014391.1	Spis13932	31.1	193	99	8	48	211	127	314	1.79e-09	56.6
JT014391.1	Spis13930	30.0	190	99	7	51	209	224	410	1.66e-08	53.9
JT014391.1	Spis13928	32.7	104	52	3	129	214	218	321	1.73e-05	45.1
JT014391.1	Spis13929	31.3	112	45	5	128	214	375	479	9.96e-04	39.7
JT016638.1	Spis5277	42.0	1780	886	43	4	1675	26	1767	0.0	1082
JT016638.1	Spis5278	36.6	1654	849	34	18	1639	32	1517	7.47e-285	861
JT016638.1	Spis22531.t1	44.4	417	219	6	159	572	388	794	2.95e-111	381
JT016638.1	Spis2735	35.2	619	361	12	143	743	461	1057	1.43e-107	370
JT016638.1	Spis20570	42.0	419	231	4	157	572	204	613	1.03e-106	378
JT011118.1	Spis12423	59.6	6173	1389	29	2	5145	762	6860	0.0	7390
JT011118.1	Spis16164	36.5	824	426	31	1198	1967	1	781	1.10e-135	447
JT011118.1	Spis16165.t1	32.4	973	491	49	915	1806	28	914	7.09e-105	361
JT011118.1	Spis19455	34.3	708	341	24	3885	4478	148	845	1.24e-91	335
JT011118.1	Spis7038	22.8	3762	2086	170	262	3659	26	3343	1.60e-71	270
JR994474.1	Spis12423	66.2	7655	1959	41	1	7298	1683	9062	0.0	10602
JR994474.1	Spis16164	36.1	820	414	29	967	1716	2	781	7.54e-135	446
JR994474.1	Spis16165.t1	31.7	941	499	38	532	1390	36	914	1.18e-106	367
JR994474.1	Spis19455	32.1	747	407	31	1224	1918	142	840	1.11e-78	293
JR994474.1	Spis7038	23.3	2566	1445	101	362	2619	973	3326	9.82e-78	291
JT013896.1	Spis1631	33.9	118	65	4	52	166	327	434	1.25e-06	49.7
JR978035.1	Spis17966	55.8	113	50	0	106	218	160	272	2.09e-36	141
JR978035.1	Spis17964.t1	50.9	116	57	0	104	219	191	306	1.60e-34	131
JR978035.1	Spis16946	45.2	126	60	2	93	217	193	310	2.67e-32	129
JR978035.1	Spis2735	50.9	114	56	0	106	219	486	599	9.39e-32	127
JR978035.1	Spis15604	43.3	127	64	1	93	219	363	481	6.56e-31	125
JT019463.1	Spis8246	58.3	1093	213	2	4	1095	5	855	0.0	1257
JT019463.1	Spis7139.t1	55.0	1082	457	11	28	1084	26	1102	0.0	1248
JT019463.1	Spis8935	52.7	1030	474	9	59	1078	18	1044	0.0	1143
JT019463.1	Spis23843	48.7	314	53	1	763	1076	611	816	7.23e-85	294
JT021412.1	Spis22080	45.5	44	24	0	1	44	275	318	2.68e-04	43.5
JT021412.1	Spis22082	40.9	44	26	0	1	44	276	319	3.46e-04	43.1
JR989025.1	Spis1630	37.4	257	115	7	47	299	35	249	1.23e-09	60.1
JR989025.1	Spis1632	38.6	70	42	1	232	300	198	267	1.25e-08	56.6
JR989025.1	Spis1629	37.1	70	43	1	232	300	214	283	6.66e-08	54.3
JR989025.1	Spis1631	39.2	74	40	3	232	302	108	179	2.88e-07	52.8
JR989025.1	Spis25145	35.2	71	45	1	230	299	99	169	1.49e-06	48.9
JT013217.1	Spis7038	44.5	398	212	8	1	392	105	499	6.01e-95	312
JT013217.1	Spis7041	44.8	397	212	6	1	392	85	479	5.11e-94	310
JT013217.1	Spis7042	33.4	326	209	7	72	392	1104	1426	4.98e-50	182
JT013217.1	Spis16440	26.5	355	223	11	66	392	1109	1453	3.30e-27	115
JT013217.1	Spis16441	29.4	309	204	8	79	378	161	464	6.40e-25	107
JR983175.1	Spis9261	37.2	86	51	2	3	85	5	90	2.08e-06	50.4
JR986059.1	Spis4808	73.1	435	110	2	7	441	29	456	3.30e-212	615
JR982706.1	Spis21698	32.4	522	267	12	23	472	2718	3225	3.62e-79	270
JR982706.1	Spis15367	25.9	220	111	13	142	350	23	201	3.41e-09	57.0
JR997000.1	Spis21282	32.2	152	92	7	100	244	413	560	3.30e-14	75.1
JR991141.1	Spis4776	40.5	3060	1573	66	1	2933	1	2939	0.0	1943
JR991141.1	Spis17876	21.8	2260	1354	75	511	2616	961	2961	3.11e-78	291
JR991141.1	Spis15916	24.8	1214	752	33	1067	2187	1573	2718	3.20e-72	271
JR991141.1	Spis15339	25.8	988	611	32	1067	1966	720	1680	4.10e-70	264
JR991141.1	Spis2913	20.4	2453	1230	69	220	2288	334	2448	3.18e-69	261
JN631095.1	Spis20234	62.0	353	128	4	66	414	35	385	9.47e-148	424
JN631095.1	Spis6258	32.7	327	213	5	67	392	515	835	2.57e-50	182
