feature_id,SRR14333319,SRR14333320,SRR14333321,SRR14333322,SRR14333323,SRR14333324,SRR14333325,SRR14333326,SRR14333327
SpisGene3669,0,0,0,0,0,0,0,0,0
SpisGene3668,2.438578794400809,2.4149586636722256,2.7402994714856996,0.5328503651799935,1.5266012688138832,1.3056009481580206,0.3096675211891707,0.45247346296535584,0.4108362041565473
SpisGene3666,7.940942903508239,7.998981520863731,8.06377505719173,9.3760929155064,8.268840933141933,8.4382442195241,8.338174438624792,8.784406502419056,8.697276083322642
SpisGene3665,5.660451860316952,5.9772276865231735,6.003480434499641,4.967138004395449,5.462350351936498,6.032384522927717,4.503426483916541,5.070290711780301,4.536095100729299
SpisGene3664,7.713748662219673,8.00575288435889,8.479322802796874,9.713090639616563,7.875370972142226,7.209106693250882,6.694022610211584,7.788099056288359,6.949671648736201
SpisGene3663,1.8299162161826195,2.742464088435375,2.9383122138582647,1.9421953770794378,1.4888633058028395,2.5700208948718766,0.8579849052559074,0,1.0601594005892596
SpisGene3662,4.4204876376494076,4.694841558759252,4.715643969534818,3.114533312454276,3.4780560471549147,3.38739850676349,3.2316131976178433,3.346844695573006,4.045051787386721
SpisGene3661,4.486531654240002,4.209845734546676,4.154359076438963,3.0817485849087336,4.494242505232206,3.787218982250081,3.8847961468729757,4.435993249887525,3.683922449319508
SpisGene3660,5.2977863031381185,5.096869881315478,5.438527086299999,5.689578825507159,5.733806872167452,6.350780279745762,4.423419199464685,4.629368428266774,4.78597172985176
SpisGene20904,0,0,0,0,0,0,0,0,0
SpisGene20905,1.1825745673280343,2.0230737580072478,1.6530032933448118,1.6396123945360057,2.2575327534651985,2.77664192857768,0.7772724525409005,0.5011765507168484,0.32761080500461365
SpisGene20906,0,0,0,0,0,0,0,0,0
SpisGene20907,2.7627614537653544,2.8773718681755316,2.3960504278050925,1.2752426841069044,1.1433483995024782,0.5417867037220041,0.7245815765445474,0,0
SpisGene20900,0,0,0,0,0,0,0,0,0
SpisGene20901,0.6802353947269997,0,0,0,0.577437466417932,0.49150910629538724,0,0,0
SpisGene20902,0.828623993184078,0,0,0,0,0,0,0,0
SpisGene20903,1.2131476919523996,2.650515122230408,3.771184680005969,1.2964447552448317,3.505398354463773,1.0991075989589383,1.734956479087576,2.1206417574546546,0.31107339246117377
SpisGene20908,0,0,0,0,0,0,0,0,0
SpisGene20909,2.68212526670998,2.9141305648945477,4.333994916319112,1.507869276170147,1.6091217405040898,9.209828988286866,0,1.665350774603711,3.00689591120132
SpisGene16163,2.901800768101361,3.1321381888965623,3.185336499925288,1.4737602407338695,2.124936400644973,2.399878690977741,2.301860459873541,1.6058688976710214,1.8506683078938153
SpisGene16162,0,1.383385452020745,0,0.28734236185991374,0,0.5801735338360829,0,0,0
SpisGene16161,2.6909450299926383,3.1238411312351606,3.3456509429944847,1.7935691005138978,1.2218575407823404,2.3400249328583227,1.6392191616061877,0.4315290141796924,1.1915354646566703
SpisGene16160,2.458506959237119,3.251897928220271,3.116336491401639,0.9008422776621705,1.308076787724419,3.1809907788258056,0,0,0.8951043523899955
SpisGene16167,0,0,0,0.30669788039375384,0,0,0,0,0
SpisGene16166,4.978669921179232,3.475812964092383,2.1463319009157424,6.502403925174529,7.823827734811044,7.360542211349754,7.789913328663773,9.24825411482225,7.881305621979221
SpisGene22214,1.2453853719724217,1.498372669305489,2.4371296605217143,0,0.4534625934336581,0,0,0,0.06688170899422657
SpisGene16164,2.702914769457273,3.2983187266068428,2.5875684769974985,0.9433532635696363,1.6165055167519664,2.4323323560599235,0.4433066749097429,0,0
SpisGene16169,2.1124996526007274,2.1157615282905677,2.3781753862009243,1.9717730610413249,2.9161026720286944,2.5606904277587765,1.3819802181400571,2.935344147477686,1.8567901142924779
SpisGene22219,0,0,0,0,0,0,0,0,0
SpisGene4811,0.8332806391562617,0,0,0,0,0.9621088824424708,0,0,0
SpisGene4810,1.5186172718059483,2.9389516068414805,2.0944777022542365,0.4850844303351451,0.8171916496298677,3.0218103184608176,0,0,1.5222015781485674
SpisGene4813,3.7172455292731055,3.8485945936369452,4.188681224934997,3.144083135399191,4.4313234853988,4.394679455228734,1.1827300982634097,1.0595366776898125,1.5084077981780797
SpisGene4812,4.114279495956255,4.6368466154617405,4.266193264349428,2.9297646322283466,2.883503506662062,3.9583032458928007,2.817231834793941,2.835057278553859,3.4063782285048427
SpisGene4815,0,1.3923491613987602,0,0,0,1.6323309415459275,0,0,1.7796298619527418
SpisGene3846,0.9936321546183314,1.542833601867404,0.8164124605781079,0.7554456575133537,1.0657873122813384,1.247289940294778,0,0.8564426890074762,1.1335472019855433
SpisGene4817,1.6734322833172115,2.1365868003831725,2.22734343886577,0.8450484613419188,0.7571032137930728,1.0964247816950021,0.949388172663248,0,1.0034888989425967
SpisGene4816,4.592883204881882,5.125681293598043,5.250589031086723,5.7219721600088835,4.355745972533679,4.015324783494135,2.353586030249709,3.2547406722342744,2.908894805387684
SpisGene21749,0,0,0,0,0,0,0,0,0
SpisGene21748,0,0,0,0,0,0,0,0,0
SpisGene21745,0,0,0,0,0,0,0,0,0
SpisGene21744,0,0,0,0,0,0,0,0,0
SpisGene21747,0,0,0.5130766937600377,0,0,0,0,0,0
SpisGene21746,2.8683588935818043,1.80373833613233,3.842829800548233,0.46173763079358654,1.721260028089331,0.4610612525152885,0,0,0
SpisGene21741,0.9790520143838751,2.431501557991193,2.6150244468956565,0,2.5075710493383636,0,0.48693379060205705,0,0
SpisGene21740,0,0,0,0,0,0,0,0,0
SpisGene21743,0,0,0,0,0,0,0,0,0
SpisGene21742,1.1435036891939976,2.2165050955774968,2.4961821351501903,0,1.4153170281491858,2.375805315888899,0,0,0
SpisGene17692,4.733084778993017,5.238863321947372,5.369099724076786,4.649093590487766,5.479932802157011,4.4495892984881245,4.688913882478518,4.0089347112014275,3.730227428603511
SpisGene17693,1.2861055753347752,2.690653780756978,2.4518072239370383,0,1.5306613990957068,1.8761238531984878,0,0,0
SpisGene17690,7.188706852367412,7.886149698887643,7.396943059904273,3.2579297618047556,4.45926760012022,4.511351284676709,3.4319982195540373,1.2877182582745714,3.0757500318670883
SpisGene17691,0,0,0,0,0,0,0.2129429595717508,0,0
SpisGene17696,4.794487634438193,5.506562616734123,5.4543078310343995,3.2480947489276657,4.154248373658768,4.1066919586668735,4.063363945506641,3.5485971079600174,3.4547740024197364
SpisGene17697,5.374461828821179,5.6577658484481645,6.083843839120065,6.692198869588707,7.083975927866347,6.8496013692024045,4.044698296213485,2.699064672901149,3.6962972533404135
SpisGene17694,1.2808202477238366,1.3274578457337134,1.2462222594676713,0,0,0.9478618685410125,0,0,0
SpisGene17695,3.8966629722131993,3.9208531427290274,4.544444340666225,2.4911174412646035,3.6058320283402976,4.468593745513357,2.152546473918552,2.148060636145554,1.7457012073676659
SpisGene17698,4.763066350299227,4.413700267249474,4.8746998071556735,2.37132150777514,2.706297083475085,2.268959753021765,1.4097512920675053,2.5977127741027677,1.0042345308811575
SpisGene17348,1.8939127086253016,2.1320993596683278,2.45062324894556,1.1484293826175487,2.1581581779055665,1.7672222103996247,1.2117008600918324,1.0391175626297533,0.829436205167352
SpisGene17349,3.341226268125202,4.082996191858811,3.693519140371854,1.232256704668344,1.1702717793938588,3.3825606239380677,2.1290798774871327,1.5131229061619536,1.561190295353574
SpisGene17340,5.24309178210349,5.617741903958645,5.742156143415911,7.210205754001264,6.890771861798155,6.915312535230578,5.699380239495206,4.3731668199564036,5.070990105177806
SpisGene17341,5.303774966974918,5.32157757170481,5.806951015140909,3.452055825679531,4.34157170117092,4.016865258192717,3.068525539377552,3.7204249874608677,2.9820795504212465
